epoch,learning_rate_gen,learning_rate_disc,generator_loss,discriminator_loss,validation_psnr,validation_ssim,discriminator_eo_real_score,discriminator_eo_fake_score
1,0.0002,0.0001,6.469904072284699,0.296546336508223,16.416114807128906,0.35202592611312866,0.6454490443638393,0.3511970594951085
2,0.00019876883405951377,9.938441702975689e-05,4.772813483987536,0.2032665034702846,16.79047393798828,0.34564465284347534,0.6726841517857143,0.3310003069468907
3,0.00019510565162951537,9.755282581475769e-05,4.376478869233813,0.169723862398948,16.903779983520508,0.39491304755210876,0.6816573660714286,0.3117582014628819
4,0.0001891006524188368,9.45503262094184e-05,4.202534410612924,0.14424752504165683,17.357196807861328,0.3684641420841217,0.7023017229352678,0.2959780638558524
5,0.00018090169943749476,9.045084971874738e-05,4.049108029774257,0.12445397826709918,16.866323471069336,0.3701866865158081,0.7141554478236607,0.2895201710292271
6,0.00017071067811865476,8.535533905932738e-05,3.934981471811022,0.11183082768161381,16.744428634643555,0.3404209315776825,0.7181522042410714,0.28036094393048966
7,0.00015877852522924732,7.938926261462366e-05,3.767195416859218,0.10217148859586035,18.033143997192383,0.4156084954738617,0.71967041015625,0.27666297776358467
8,0.00014539904997395468,7.269952498697734e-05,3.6571807292529517,0.09768037937581539,17.13580322265625,0.3791561424732208,0.7119095284598215,0.2944363021850586
9,0.00013090169943749476,6.545084971874738e-05,3.4756339628355843,0.09649325915745327,17.317853927612305,0.3865419030189514,0.6982453264508929,0.29920580182756695
10,0.0001156434465040231,5.782172325201155e-05,3.3455977593149457,0.09532952065446547,17.228498458862305,0.39036834239959717,0.6931780133928571,0.30848457336425783
11,0.0001,5e-05,3.257475858415876,0.09536199525796941,17.617637634277344,0.4317050874233246,0.6812203543526786,0.30985874720982143
12,8.435655349597695e-05,4.217827674798847e-05,3.1319154252324783,0.09184669128486088,17.091493606567383,0.3953916132450104,0.6850969587053571,0.31187386648995535
13,6.909830056250527e-05,3.4549150281252636e-05,3.0446416541508268,0.08870907848966973,17.252344131469727,0.39222925901412964,0.6886868722098214,0.31241219656808034
14,5.4600950026045326e-05,2.7300475013022663e-05,2.9658293209757125,0.08669496117159724,17.345300674438477,0.39638036489486694,0.6860822405133928,0.3107334681919643
15,4.12214747707527e-05,2.061073738537635e-05,2.9028360857282367,0.0849089032384966,17.04725456237793,0.391183078289032,0.6866632952008929,0.3070914132254464
16,2.9289321881345254e-05,1.4644660940672627e-05,2.8441797293935505,0.08241447133943439,17.39730453491211,0.4049391448497772,0.6922084263392857,0.3083033970424107
17,1.9098300562505266e-05,9.549150281252633e-06,2.804388834408351,0.0809772222169808,17.135093688964844,0.3916446566581726,0.6914529854910715,0.30429094587053573
18,1.0899347581163221e-05,5.449673790581611e-06,2.760975947039468,0.08061953696555325,17.1747989654541,0.40199270844459534,0.6915349469866071,0.3061411830357143
19,4.8943483704846475e-06,2.4471741852423237e-06,2.7363788189206804,0.08062029430376631,17.096900939941406,0.3970913290977478,0.6906040736607143,0.3053065708705357
20,1.231165940486234e-06,6.15582970243117e-07,2.719758635589055,0.08016575926914811,17.149351119995117,0.3974941372871399,0.6909842354910715,0.30723964146205357
