epoch,learning_rate_gen,learning_rate_disc,generator_loss,discriminator_loss,validation_psnr,validation_ssim,discriminator_eo_real_score,discriminator_eo_fake_score
1,0.0002,0.0001,5.587746900670669,0.3709058387606752,21.496408462524414,0.6256805062294006,0.6279167624080882,0.3674479765050552
2,0.0001998629534754574,9.99314767377287e-05,4.348868500017653,0.2497701469589682,20.847610473632812,0.6313856244087219,0.6466586243872549,0.3503146152870328
3,0.00019945218953682734,9.972609476841367e-05,3.733612511204738,0.237366783618927,21.591291427612305,0.6546372175216675,0.6547573912377451,0.3334201513552198
4,0.00019876883405951377,9.938441702975689e-05,3.630053234100342,0.20910544515240426,21.92555809020996,0.6561492085456848,0.6774777879901961,0.31367163564644607
5,0.00019781476007338058,9.890738003669029e-05,3.3348102429333855,0.19701319754708047,21.954103469848633,0.63877934217453,0.6577052696078431,0.33002247529871326
6,0.00019659258262890683,9.829629131445342e-05,3.6236064013312843,0.18806123572821712,21.39071273803711,0.6518538594245911,0.6612898284313725,0.32436595243566174
7,0.00019510565162951537,9.755282581475769e-05,3.2431497190512864,0.1739311343314601,21.47306251525879,0.6617739200592041,0.6617963005514705,0.3346711102653952
8,0.00019335804264972018,9.667902132486009e-05,3.1301560429965747,0.17624927075470195,22.335195541381836,0.6869028806686401,0.6441061580882353,0.3463827095779718
9,0.0001913545457642601,9.567727288213005e-05,3.118041649051741,0.1660267442757008,21.5239200592041,0.6542219519615173,0.6499377680759804,0.3422295514275046
10,0.0001891006524188368,9.45503262094184e-05,2.9342850442026176,0.1690169702265777,20.805551528930664,0.6642142534255981,0.6383827359068628,0.3558697270412071
11,0.00018660254037844388,9.330127018922194e-05,2.8582211176554364,0.16845803839318893,21.629974365234375,0.6532304883003235,0.6383616727941176,0.3527944527420343
12,0.00018386705679454242,9.193352839727121e-05,2.8429055139130237,0.16180765076595194,21.67185401916504,0.6707776784896851,0.6510541130514705,0.35746088962928924
13,0.00018090169943749476,9.045084971874738e-05,2.969997355517219,0.1475625970492176,20.926664352416992,0.6319493651390076,0.6628149892769608,0.35271259382659315
14,0.0001777145961456971,8.885729807284856e-05,2.8717396072312895,0.1455660668073916,20.829925537109375,0.6408275961875916,0.6633856081495098,0.34382156671262254
15,0.00017431448254773944,8.715724127386972e-05,2.9975719236860088,0.14254906040196325,21.635839462280273,0.6594275832176208,0.6602941176470588,0.34961473053576897
16,0.00017071067811865476,8.535533905932738e-05,2.7055892430099786,0.14545485657804152,22.4363956451416,0.6776236295700073,0.6506390739889706,0.34358101639093136
17,0.00016691306063588583,8.345653031794292e-05,2.9343240756614537,0.1332261044312926,22.35604476928711,0.6765305399894714,0.6644090839460784,0.3322447982488894
18,0.00016293203910498376,8.146601955249188e-05,2.6404279447069356,0.13657917435847078,20.91098976135254,0.6745407581329346,0.6623152190563726,0.34637379365808824
19,0.00015877852522924732,7.938926261462366e-05,2.62532288794424,0.13673292518246408,20.78154945373535,0.6570695042610168,0.6558699065563726,0.34384789560355394
20,0.00015446390350150273,7.723195175075136e-05,2.614478655422435,0.13485140382659203,21.051605224609375,0.6605861783027649,0.6503973268995098,0.34513777190563727
21,0.00015000000000000001,7.500000000000001e-05,2.5435339773402497,0.1346254748748798,21.329612731933594,0.6585474014282227,0.6557866115196078,0.3468539368872549
22,0.00014539904997395468,7.269952498697734e-05,2.5324025191512765,0.13471879249109942,19.85601234436035,0.6627042889595032,0.6432042738970588,0.3459087297028186
23,0.00014067366430758004,7.033683215379002e-05,2.580341683182062,0.1290770065258531,20.193313598632812,0.6770156025886536,0.6472905177696079,0.35869739008884804
