epoch,learning_rate_gen,learning_rate_disc,generator_loss,discriminator_loss,validation_psnr,validation_ssim,discriminator_eo_real_score,discriminator_eo_fake_score
1,0.0002,0.0001,4.821852010658809,0.310354258865118,19.58728790283203,0.6287474036216736,0.6275929478236607,0.3720968963418688
2,0.00019876883405951377,9.938441702975689e-05,3.6847974811281476,0.21239351938877787,22.00029182434082,0.6484042406082153,0.6507085309709821,0.34234950474330356
3,0.00019510565162951537,9.755282581475769e-05,3.512623837334769,0.1801697797753981,21.33544158935547,0.6611844897270203,0.655400390625,0.34069419860839845
4,0.0001891006524188368,9.45503262094184e-05,3.442500372954777,0.15973697798592704,20.486482620239258,0.6230286359786987,0.6576625279017857,0.33496542249407085
5,0.00018090169943749476,9.045084971874738e-05,3.277834071772439,0.14615347165082182,21.524885177612305,0.6491259336471558,0.6557936314174108,0.34068372453962054
6,0.00017071067811865476,8.535533905932738e-05,3.1619014934131076,0.13648104273847173,20.488134384155273,0.6427497267723083,0.6484572056361607,0.3487302943638393
7,0.00015877852522924732,7.938926261462366e-05,3.06046681029456,0.12414466128817626,21.068387985229492,0.6357504725456238,0.6535048130580358,0.34518065861293246
8,0.00014539904997395468,7.269952498697734e-05,2.9735506759371075,0.11634468170148986,19.030254364013672,0.6441941857337952,0.6529750279017857,0.34503832135881696
9,0.00013090169943749476,6.545084971874738e-05,2.8249079629353115,0.11022153570183686,20.61259651184082,0.6594634652137756,0.6576555524553571,0.34236162458147323
10,0.0001156434465040231,5.782172325201155e-05,2.7050382689067294,0.10698405187044825,20.515716552734375,0.6590182781219482,0.65601806640625,0.33753740583147324
11,0.0001,5e-05,2.6257178476878575,0.1037604690768889,19.977529525756836,0.6642807126045227,0.6581898716517857,0.3425864955357143
12,8.435655349597695e-05,4.217827674798847e-05,2.5468933275767736,0.10035961816353457,20.51458740234375,0.6674209237098694,0.6586213030133928,0.33709315708705356
13,6.909830056250527e-05,3.4549150281252636e-05,2.472121867452349,0.09813753211604698,16.5538387298584,0.6452224254608154,0.6611837332589285,0.33860630580357143
14,5.4600950026045326e-05,2.7300475013022663e-05,2.418779366697584,0.09553921267390252,20.721471786499023,0.6707777380943298,0.6632505580357143,0.33849417550223215
15,4.12214747707527e-05,2.061073738537635e-05,2.3406454113551547,0.09411609954067639,20.056787490844727,0.6701592803001404,0.6639474051339286,0.3375624302455357
16,2.9289321881345254e-05,1.4644660940672627e-05,2.289402518953596,0.09368728723909174,19.790719985961914,0.6725428700447083,0.6635602678571428,0.3360520717075893
17,1.9098300562505266e-05,9.549150281252633e-06,2.258236781529018,0.09141327427966255,20.11722183227539,0.6668099164962769,0.66797119140625,0.329403076171875
18,1.0899347581163221e-05,5.449673790581611e-06,2.2322259385245187,0.09048424104494708,20.080890655517578,0.6681994199752808,0.6706902204241072,0.32906284877232145
19,4.8943483704846475e-06,2.4471741852423237e-06,2.2096770528384617,0.09082784025796822,20.126388549804688,0.6667185425758362,0.6685264369419642,0.32972970145089286
20,1.231165940486234e-06,6.15582970243117e-07,2.1982114575590406,0.09149844618248087,20.138978958129883,0.6669866442680359,0.66910888671875,0.3273395647321429
